Netzwerk;Sender-DeviceId;Empfänger-DeviceId;SCL;SDA
1;503;503;229;229
1;503;19075;248;247
1;19075;19075;230;230
1;19075;503;228;227
2;22909;13976;245;244
2;22909;1541;242;241
2;22909;1000;246;246
2;22909;22909;235;235
2;22909;19342;246;246
2;19342;19342;235;235
2;19342;1000;243;242
2;19342;1541;238;238
2;19342;13976;241;240
2;19342;22909;241;240
2;13976;1541;240;239
2;13976;1000;245;245
2;13976;13976;235;235
2;13976;22909;242;241
2;13976;19342;245;244
2;1000;13976;242;241
2;1000;1541;238;237
2;1000;19342;243;242
2;1000;22909;241;240
2;1000;1000;236;236
2;1541;19342;248;248
2;1541;22909;246;245
2;1541;1541;235;235
2;1541;1000;249;248
2;1541;13976;246;246
3;14896;14896;229;229
3;14896;28900;242;241
3;28900;14896;231;231
3;28900;28900;229;229
4;11581;18343;241;240
4;11581;11581;229;229
4;18343;11581;232;231
4;18343;18343;229;229
5;25874;25874;231;231
5;25874;21336;234;233
5;21336;25874;244;243
5;21336;21336;231;231
6;22784;29725;236;236
6;22784;8270;239;238
6;22784;22784;229;229
6;22784;20043;241;241
6;20043;29725;233;232
6;20043;8270;235;234
6;20043;22784;234;233
6;20043;20043;230;230
6;8270;22784;236;236
6;8270;20043;240;240
6;8270;8270;230;230
6;8270;29725;236;235
6;29725;22784;239;238
6;29725;8270;241;240
6;29725;29725;229;229
6;29725;20043;243;242
7;25661;25661;229;229
7;25661;12622;238;239
7;12622;25661;236;235
7;12622;12622;229;229
